27/11/2023 10:23:50 am
Time(s)	Displacement(mm) Force(N)
85.8464	50.0000	0.7229
85.9463	50.0000	0.7223
86.0463	50.0000	0.7239
86.1466	50.0000	0.7226
86.2459	50.0000	0.7204
86.3475	50.0000	0.7210
86.4486	50.0000	0.7236
86.5479	50.0000	0.7236
86.6482	50.0000	0.7247
86.7479	50.0000	0.7225
86.8487	50.0000	0.7237
86.9486	50.0000	0.7232
87.0485	50.0000	0.7231
87.1480	50.0000	0.7242
87.2482	50.0000	0.7225
87.3492	50.0000	0.7199
87.4490	50.0000	0.7202
87.5495	50.0000	0.7216
87.6491	50.0000	0.7229
87.7496	50.0000	0.7213
87.8495	50.0000	0.7217
87.9493	50.0000	0.7225
88.0493	50.0000	0.7225
88.1493	50.0000	0.7212
88.2490	50.0000	0.7207
88.3491	50.0000	0.7216
88.4500	50.0000	0.7221
88.5500	50.0000	0.7231
88.6508	50.0000	0.7226
88.7512	50.0000	0.7242
88.8511	50.0000	0.7219
88.9512	50.0000	0.7218
89.0511	50.0000	0.7237
89.1516	50.0000	0.7224
89.2513	50.0000	0.7208
89.3513	50.0000	0.7232
89.4511	50.0000	0.7211
89.5508	50.0000	0.7236
89.6517	50.0000	0.7231
89.7513	50.0000	0.7243
89.8514	50.0000	0.7217
